x_pos,y_pos,z_pos,joint1_angle,joint2_angle,joint3_angle,joint4_angle
0.204888,-0.095000,0.165000,-0.457640,-0.417880,0.444658,0.253920
0.204592,-0.095000,0.170000,-0.458250,-0.426936,0.435848,0.246586
0.204322,-0.095000,0.175000,-0.458806,-0.434971,0.426665,0.238298
0.204078,-0.095000,0.180000,-0.459311,-0.441941,0.416868,0.229476
0.203859,-0.095000,0.185000,-0.459765,-0.447469,0.404382,0.223617
0.203664,-0.095000,0.190000,-0.460170,-0.452063,0.391713,0.216578
0.203491,-0.095000,0.195000,-0.460528,-0.455728,0.378843,0.208403
0.203341,-0.095000,0.200000,-0.460841,-0.458423,0.365482,0.199597
0.203211,-0.095000,0.205000,-0.461111,-0.460141,0.351508,0.190379
0.203102,-0.095000,0.210000,-0.461339,-0.460894,0.336891,0.180818
0.203011,-0.095000,0.215000,-0.461529,-0.460701,0.321637,0.170920
0.202938,-0.095000,0.220000,-0.461682,-0.459585,0.305795,0.160608
0.202881,-0.095000,0.225000,-0.461801,-0.457545,0.289218,0.150151
0.202838,-0.095000,0.230000,-0.461889,-0.454604,0.271941,0.139496
0.202809,-0.095000,0.235000,-0.461950,-0.450768,0.253859,0.128836
0.202792,-0.095000,0.240000,-0.461986,-0.446078,0.235143,0.117875
0.202783,-0.095000,0.245000,-0.462004,-0.440545,0.215752,0.106685
0.202782,-0.095000,0.250000,-0.462007,-0.434194,0.195710,0.095228
0.202783,-0.095000,0.255000,-0.462004,-0.427039,0.174989,0.083554
0.202792,-0.095000,0.260000,-0.461986,-0.419060,0.153554,0.071654
0.202809,-0.095000,0.265000,-0.461950,-0.410230,0.131366,0.059524
0.202838,-0.095000,0.270000,-0.461889,-0.400527,0.108376,0.047175
0.202881,-0.095000,0.275000,-0.461801,-0.389927,0.084538,0.034610
0.202938,-0.095000,0.280000,-0.461682,-0.378405,0.059804,0.021824
0.203011,-0.095000,0.285000,-0.461528,-0.365930,0.034120,0.008814
0.203102,-0.095000,0.290000,-0.461339,-0.352468,0.007425,-0.004427
0.203211,-0.095000,0.295000,-0.461111,-0.337980,-0.020350,-0.017908
0.203341,-0.095000,0.300000,-0.460841,-0.322418,-0.049283,-0.031638
0.203491,-0.095000,0.305000,-0.460528,-0.305726,-0.079467,-0.045633
0.203664,-0.095000,0.310000,-0.460170,-0.287836,-0.111007,-0.059914
0.203859,-0.095000,0.315000,-0.459765,-0.268668,-0.144027,-0.074506
0.204078,-0.095000,0.320000,-0.459311,-0.248120,-0.178677,-0.089442
0.204322,-0.095000,0.325000,-0.458806,-0.226070,-0.215135,-0.104770
0.204592,-0.095000,0.330000,-0.458250,-0.202365,-0.253630,-0.120529
0.204888,-0.095000,0.335000,-0.457640,-0.176807,-0.294432,-0.136806
0.205212,-0.095000,0.340000,-0.456976,-0.149144,-0.337899,-0.153692
0.205563,-0.095000,0.345000,-0.456257,-0.119037,-0.384502,-0.171308
0.205944,-0.095000,0.350000,-0.455480,-0.086020,-0.434873,-0.189851
0.205592,-0.090000,0.150000,-0.435171,-0.403342,0.480228,0.280888
0.205212,-0.090000,0.155000,-0.435924,-0.415741,0.473322,0.275138
0.204860,-0.090000,0.160000,-0.436621,-0.427023,0.465746,0.268844
0.204536,-0.090000,0.165000,-0.437265,-0.437201,0.457532,0.261987
0.204240,-0.090000,0.170000,-0.437856,-0.446297,0.448752,0.254468
0.203970,-0.090000,0.175000,-0.438396,-0.454362,0.439615,0.245970
0.203726,-0.090000,0.180000,-0.438885,-0.461371,0.429971,0.236759
0.203507,-0.090000,0.185000,-0.439325,-0.466827,0.417225,0.231182
0.203312,-0.090000,0.190000,-0.439718,-0.471371,0.404432,0.224205
0.203139,-0.090000,0.195000,-0.440065,-0.475000,0.391547,0.215919
0.202989,-0.090000,0.200000,-0.440369,-0.477653,0.378178,0.206991
0.202860,-0.090000,0.205000,-0.440630,-0.479322,0.364205,0.197645
0.202750,-0.090000,0.210000,-0.440852,-0.480020,0.349592,0.187956
0.202659,-0.090000,0.215000,-0.441036,-0.479766,0.334343,0.177935
0.202586,-0.090000,0.220000,-0.441184,-0.478589,0.318529,0.167473
0.202529,-0.090000,0.225000,-0.441300,-0.476482,0.301980,0.156874
0.202487,-0.090000,0.230000,-0.441386,-0.473470,0.284713,0.146120
0.202458,-0.090000,0.235000,-0.441444,-0.469559,0.266626,0.135401
0.202440,-0.090000,0.240000,-0.441480,-0.464796,0.247925,0.124362
0.202432,-0.090000,0.245000,-0.441497,-0.459194,0.228558,0.113093
0.202430,-0.090000,0.250000,-0.441500,-0.452775,0.208552,0.101558
0.202432,-0.090000,0.255000,-0.441497,-0.445559,0.187874,0.089809
0.202440,-0.090000,0.260000,-0.441480,-0.437522,0.166496,0.077835
0.202458,-0.090000,0.265000,-0.441444,-0.428642,0.144374,0.065638
0.202487,-0.090000,0.270000,-0.441386,-0.418895,0.121463,0.053227
0.202529,-0.090000,0.275000,-0.441300,-0.408260,0.097718,0.040606
0.202586,-0.090000,0.280000,-0.441184,-0.396712,0.073092,0.027771
0.202659,-0.090000,0.285000,-0.441036,-0.384223,0.047533,0.014719
0.202750,-0.090000,0.290000,-0.440852,-0.370761,0.020982,0.001444
0.202860,-0.090000,0.295000,-0.440630,-0.356288,-0.006627,-0.012059
0.202989,-0.090000,0.300000,-0.440369,-0.340760,-0.035371,-0.025801
0.203139,-0.090000,0.305000,-0.440065,-0.324123,-0.065335,-0.039796
0.203312,-0.090000,0.310000,-0.439718,-0.306314,-0.096618,-0.054067
0.203507,-0.090000,0.315000,-0.439325,-0.287257,-0.129346,-0.068626
0.203726,-0.090000,0.320000,-0.438885,-0.266858,-0.163654,-0.083511
0.203970,-0.090000,0.325000,-0.438396,-0.245001,-0.199713,-0.098761
0.204240,-0.090000,0.330000,-0.437856,-0.221545,-0.237731,-0.114423
0.204536,-0.090000,0.335000,-0.437265,-0.196307,-0.277966,-0.130566
0.204860,-0.090000,0.340000,-0.436621,-0.169056,-0.320748,-0.147269
0.205212,-0.090000,0.345000,-0.435924,-0.139482,-0.366502,-0.164656
0.205592,-0.090000,0.350000,-0.435171,-0.107165,-0.415792,-0.182919
0.205269,-0.085000,0.150000,-0.414341,-0.421689,0.492416,0.288943
0.204888,-0.085000,0.155000,-0.415068,-0.434164,0.485511,0.283072
0.204536,-0.085000,0.160000,-0.415742,-0.445507,0.477943,0.276643
0.204213,-0.085000,0.165000,-0.416364,-0.455731,0.469744,0.269630
0.203917,-0.085000,0.170000,-0.416934,-0.464862,0.460993,0.261932
0.203647,-0.085000,0.175000,-0.417455,-0.472952,0.451897,0.253232
0.203403,-0.085000,0.180000,-0.417928,-0.480003,0.442442,0.243574
0.203184,-0.085000,0.185000,-0.418353,-0.485408,0.429570,0.238051
0.202988,-0.085000,0.190000,-0.418733,-0.489865,0.416496,0.231395
0.202816,-0.085000,0.195000,-0.419068,-0.493450,0.403571,0.223035
0.202665,-0.085000,0.200000,-0.419362,-0.496055,0.390189,0.213996
0.202536,-0.085000,0.205000,-0.419614,-0.497671,0.376210,0.204529
0.202426,-0.085000,0.210000,-0.419828,-0.498311,0.361599,0.194713
0.202336,-0.085000,0.215000,-0.420006,-0.497993,0.346356,0.184567
0.202262,-0.085000,0.220000,-0.420149,-0.496751,0.330569,0.173950
0.202205,-0.085000,0.225000,-0.420261,-0.494574,0.314041,0.163218
0.202163,-0.085000,0.230000,-0.420344,-0.491485,0.296773,0.152378
0.202134,-0.085000,0.235000,-0.420401,-0.487495,0.278676,0.141601
0.202116,-0.085000,0.240000,-0.420435,-0.482655,0.259983,0.130486
0.202108,-0.085000,0.245000,-0.420451,-0.476978,0.240636,0.119138
0.202106,-0.085000,0.250000,-0.420455,-0.470489,0.220657,0.107526
0.202108,-0.085000,0.255000,-0.420451,-0.463205,0.200018,0.095702
0.202116,-0.085000,0.260000,-0.420435,-0.455106,0.178688,0.083655
0.202134,-0.085000,0.265000,-0.420401,-0.446169,0.156624,0.071390
0.202163,-0.085000,0.270000,-0.420344,-0.436372,0.133782,0.058918
0.202205,-0.085000,0.275000,-0.420261,-0.425695,0.110118,0.046240
0.202262,-0.085000,0.280000,-0.420149,-0.414113,0.085587,0.033354
0.202336,-0.085000,0.285000,-0.420006,-0.401602,0.060139,0.020258
0.202426,-0.085000,0.290000,-0.419828,-0.388129,0.033716,0.006949
0.202536,-0.085000,0.295000,-0.419614,-0.373660,0.006254,-0.006580
0.202665,-0.085000,0.300000,-0.419362,-0.358152,-0.022320,-0.020338
0.202816,-0.085000,0.305000,-0.419068,-0.341554,-0.052083,-0.034349
0.202988,-0.085000,0.310000,-0.418733,-0.323808,-0.083141,-0.048609
0.203184,-0.085000,0.315000,-0.418353,-0.304840,-0.115607,-0.063145
0.203403,-0.085000,0.320000,-0.417928,-0.284563,-0.149610,-0.077988
0.203647,-0.085000,0.325000,-0.417455,-0.262869,-0.185313,-0.093177
0.203917,-0.085000,0.330000,-0.416934,-0.239624,-0.222910,-0.108756
0.204213,-0.085000,0.335000,-0.416364,-0.214659,-0.262644,-0.124782
0.204536,-0.085000,0.340000,-0.415742,-0.187760,-0.304820,-0.141335
0.204888,-0.085000,0.345000,-0.415068,-0.158641,-0.349825,-0.158537
0.205269,-0.085000,0.350000,-0.414341,-0.126918,-0.398172,-0.176572
0.204972,-0.080000,0.150000,-0.393001,-0.439230,0.503955,0.296540
0.204592,-0.080000,0.155000,-0.393700,-0.451774,0.497048,0.290555
0.204240,-0.080000,0.160000,-0.394347,-0.463172,0.489484,0.283997
0.203917,-0.080000,0.165000,-0.394945,-0.473438,0.481298,0.276835
0.203620,-0.080000,0.170000,-0.395494,-0.482599,0.472572,0.268965
0.203351,-0.080000,0.175000,-0.395995,-0.490709,0.463512,0.260074
0.203107,-0.080000,0.180000,-0.396450,-0.497791,0.454202,0.250043
0.202887,-0.080000,0.185000,-0.396859,-0.503127,0.441141,0.244679
0.202692,-0.080000,0.190000,-0.397224,-0.507515,0.427903,0.238146
0.202520,-0.080000,0.195000,-0.397547,-0.511049,0.414922,0.229741
0.202369,-0.080000,0.200000,-0.397829,-0.513602,0.401517,0.220603
0.202240,-0.080000,0.205000,-0.398072,-0.515161,0.387529,0.211023
0.202130,-0.080000,0.210000,-0.398278,-0.515738,0.372917,0.201083
0.202039,-0.080000,0.215000,-0.398448,-0.515354,0.357678,0.190811
0.201966,-0.080000,0.220000,-0.398586,-0.514045,0.341924,0.180028
0.201909,-0.080000,0.225000,-0.398694,-0.511794,0.325404,0.169180
0.201867,-0.080000,0.230000,-0.398773,-0.508624,0.308119,0.158278
0.201838,-0.080000,0.235000,-0.398828,-0.504553,0.290014,0.147435
0.201820,-0.080000,0.240000,-0.398861,-0.499633,0.271323,0.136249
0.201812,-0.080000,0.245000,-0.398877,-0.493879,0.251993,0.124820
0.201810,-0.080000,0.250000,-0.398880,-0.487315,0.232036,0.113133
0.201812,-0.080000,0.255000,-0.398877,-0.479960,0.211428,0.101235
0.201820,-0.080000,0.260000,-0.398861,-0.471795,0.190139,0.089115
0.201838,-0.080000,0.265000,-0.398828,-0.462796,0.168125,0.076784
0.201867,-0.080000,0.270000,-0.398773,-0.452944,0.145343,0.064250
0.201909,-0.080000,0.275000,-0.398694,-0.442219,0.121750,0.051516
0.201966,-0.080000,0.280000,-0.398586,-0.430597,0.097304,0.038579
0.202039,-0.080000,0.285000,-0.398448,-0.418055,0.071953,0.025439
0.202130,-0.080000,0.290000,-0.398278,-0.404563,0.045643,0.012093
0.202240,-0.080000,0.295000,-0.398072,-0.390088,0.018312,-0.001464
0.202369,-0.080000,0.300000,-0.397829,-0.374588,-0.010106,-0.015249
0.202520,-0.080000,0.305000,-0.397547,-0.358017,-0.039688,-0.029280
0.202692,-0.080000,0.310000,-0.397224,-0.340318,-0.070550,-0.043528
0.202887,-0.080000,0.315000,-0.396859,-0.321421,-0.102782,-0.058046
0.203107,-0.080000,0.320000,-0.396450,-0.301245,-0.136516,-0.072855
0.203351,-0.080000,0.325000,-0.395995,-0.279686,-0.171900,-0.087995
0.203620,-0.080000,0.330000,-0.395494,-0.256619,-0.209121,-0.103505
0.203917,-0.080000,0.335000,-0.394945,-0.231887,-0.248411,-0.119434
0.204240,-0.080000,0.340000,-0.394347,-0.205288,-0.290050,-0.135863
0.204592,-0.080000,0.345000,-0.393700,-0.176559,-0.334394,-0.152919
0.204972,-0.080000,0.350000,-0.393001,-0.145368,-0.382000,-0.170535
0.204703,-0.075000,0.150000,-0.371162,-0.455931,0.514853,0.303653
0.204322,-0.075000,0.155000,-0.371831,-0.468538,0.507939,0.297565
0.203970,-0.075000,0.160000,-0.372451,-0.479985,0.500374,0.290887
0.203647,-0.075000,0.165000,-0.373023,-0.490288,0.492197,0.283586
0.203351,-0.075000,0.170000,-0.373548,-0.499474,0.483491,0.275553
0.203081,-0.075000,0.175000,-0.374028,-0.507599,0.474461,0.266481
0.202837,-0.075000,0.180000,-0.374462,-0.514679,0.465155,0.256315
0.202618,-0.075000,0.185000,-0.374854,-0.519975,0.452059,0.250858
0.202422,-0.075000,0.190000,-0.375203,-0.524287,0.438651,0.244458
0.202250,-0.075000,0.195000,-0.375512,-0.527764,0.425600,0.236028
0.202099,-0.075000,0.200000,-0.375782,-0.530262,0.412168,0.226802
0.201970,-0.075000,0.205000,-0.376015,-0.531762,0.398165,0.217115
0.201860,-0.075000,0.210000,-0.376212,-0.532275,0.383550,0.207057
0.201770,-0.075000,0.215000,-0.376376,-0.531822,0.368316,0.196658
0.201696,-0.075000,0.220000,-0.376508,-0.530447,0.352603,0.185693
0.201639,-0.075000,0.225000,-0.376610,-0.528117,0.336072,0.174760
0.201597,-0.075000,0.230000,-0.376687,-0.524862,0.318750,0.163828
0.201568,-0.075000,0.235000,-0.376739,-0.520709,0.300645,0.152901
0.201550,-0.075000,0.240000,-0.376771,-0.515707,0.281952,0.141648
0.201542,-0.075000,0.245000,-0.376785,-0.509874,0.262635,0.130138
0.201540,-0.075000,0.250000,-0.376789,-0.503232,0.242694,0.118379
0.201542,-0.075000,0.255000,-0.376785,-0.495804,0.222113,0.106407
0.201550,-0.075000,0.260000,-0.376771,-0.487570,0.200859,0.094217
0.201568,-0.075000,0.265000,-0.376739,-0.478507,0.178887,0.081822
0.201597,-0.075000,0.270000,-0.376687,-0.468596,0.156156,0.069228
0.201639,-0.075000,0.275000,-0.376610,-0.457818,0.132626,0.056437
0.201696,-0.075000,0.280000,-0.376508,-0.446152,0.108253,0.043450
0.201770,-0.075000,0.285000,-0.376375,-0.433573,0.082988,0.030267
0.201860,-0.075000,0.290000,-0.376212,-0.420056,0.056778,0.016884
0.201970,-0.075000,0.295000,-0.376015,-0.405566,0.029566,0.003292
0.202099,-0.075000,0.300000,-0.375782,-0.390065,0.001290,-0.010530
0.202250,-0.075000,0.305000,-0.375512,-0.373509,-0.028140,-0.024566
0.202422,-0.075000,0.310000,-0.375203,-0.355843,-0.058825,-0.038809
0.202618,-0.075000,0.315000,-0.374854,-0.337002,-0.090851,-0.053311
0.202837,-0.075000,0.320000,-0.374462,-0.316907,-0.124341,-0.068097
0.203081,-0.075000,0.325000,-0.374027,-0.295460,-0.159441,-0.083200
0.203351,-0.075000,0.330000,-0.373548,-0.272544,-0.196329,-0.098652
0.203647,-0.075000,0.335000,-0.373023,-0.248010,-0.235223,-0.114501
0.203970,-0.075000,0.340000,-0.372451,-0.221668,-0.276384,-0.130834
0.204322,-0.075000,0.345000,-0.371831,-0.193282,-0.320190,-0.147650
0.204703,-0.075000,0.350000,-0.371162,-0.162525,-0.367063,-0.165129
0.204459,-0.070000,0.150000,-0.348840,-0.471762,0.525120,0.310253
0.204078,-0.070000,0.155000,-0.349476,-0.484425,0.518192,0.304076
0.203726,-0.070000,0.160000,-0.350066,-0.495914,0.510619,0.297293
0.203403,-0.070000,0.165000,-0.350611,-0.506247,0.502443,0.289866
0.203107,-0.070000,0.170000,-0.351111,-0.515453,0.493751,0.281684
0.202837,-0.070000,0.175000,-0.351567,-0.523588,0.484743,0.272450
0.202593,-0.070000,0.180000,-0.351981,-0.530664,0.475446,0.262138
0.202374,-0.070000,0.185000,-0.352354,-0.535915,0.462302,0.256612
0.202178,-0.070000,0.190000,-0.352686,-0.540151,0.448736,0.250327
0.202006,-0.070000,0.195000,-0.352980,-0.543567,0.435609,0.241886
0.201855,-0.070000,0.200000,-0.353237,-0.546007,0.422146,0.232581
0.201726,-0.070000,0.205000,-0.353459,-0.547445,0.408125,0.222795
0.201616,-0.070000,0.210000,-0.353646,-0.547892,0.393503,0.212625
0.201526,-0.070000,0.215000,-0.353802,-0.547371,0.378274,0.202098
0.201452,-0.070000,0.220000,-0.353928,-0.545931,0.362615,0.190933
0.201395,-0.070000,0.225000,-0.354026,-0.543517,0.346047,0.179958
0.201353,-0.070000,0.230000,-0.354098,-0.540174,0.328673,0.169021
0.201324,-0.070000,0.235000,-0.354148,-0.535940,0.310575,0.157996
0.201306,-0.070000,0.240000,-0.354178,-0.530855,0.291875,0.146680
0.201298,-0.070000,0.245000,-0.354193,-0.524941,0.272568,0.135091
0.201296,-0.070000,0.250000,-0.354196,-0.518221,0.252640,0.123262
0.201298,-0.070000,0.255000,-0.354193,-0.510719,0.232081,0.111218
0.201306,-0.070000,0.260000,-0.354178,-0.502413,0.210855,0.098961
0.201324,-0.070000,0.265000,-0.354148,-0.493284,0.188918,0.086503
0.201353,-0.070000,0.270000,-0.354098,-0.483311,0.166231,0.073852
0.201395,-0.070000,0.275000,-0.354026,-0.472478,0.142755,0.061007
0.201452,-0.070000,0.280000,-0.353928,-0.460763,0.118446,0.047971
0.201526,-0.070000,0.285000,-0.353802,-0.448144,0.093257,0.034744
0.201616,-0.070000,0.290000,-0.353646,-0.434595,0.067137,0.021322
0.201726,-0.070000,0.295000,-0.353459,-0.420084,0.040033,0.007689
0.201855,-0.070000,0.300000,-0.353237,-0.404575,0.011882,-0.006166
0.202006,-0.070000,0.305000,-0.352980,-0.388025,-0.017422,-0.020192
0.202178,-0.070000,0.310000,-0.352686,-0.370382,-0.047949,-0.034435
0.202374,-0.070000,0.315000,-0.352354,-0.351582,-0.079789,-0.048933
0.202593,-0.070000,0.320000,-0.351981,-0.331552,-0.113059,-0.063711
0.202837,-0.070000,0.325000,-0.351567,-0.310198,-0.147907,-0.078779
0.203107,-0.070000,0.330000,-0.351111,-0.287409,-0.184500,-0.094182
0.203403,-0.070000,0.335000,-0.350611,-0.263042,-0.223042,-0.109964
0.203726,-0.070000,0.340000,-0.350066,-0.236923,-0.263797,-0.126173
0.204078,-0.070000,0.345000,-0.349476,-0.208823,-0.307088,-0.142884
0.204459,-0.070000,0.350000,-0.348840,-0.178443,-0.353338,-0.160199
0.204239,-0.065000,0.150000,-0.326052,-0.486693,0.534772,0.316302
0.203859,-0.065000,0.155000,-0.326654,-0.499403,0.527818,0.310057
0.203507,-0.065000,0.160000,-0.327212,-0.510926,0.520226,0.303190
0.203184,-0.065000,0.165000,-0.327727,-0.521282,0.512040,0.295658
0.202887,-0.065000,0.170000,-0.328200,-0.530501,0.503351,0.287349
0.202618,-0.065000,0.175000,-0.328632,-0.538637,0.494338,0.277998
0.202374,-0.065000,0.180000,-0.329023,-0.545685,0.484958,0.267698
0.202154,-0.065000,0.185000,-0.329376,-0.550913,0.471867,0.261941
0.201959,-0.065000,0.190000,-0.329691,-0.555074,0.458160,0.255746
0.201787,-0.065000,0.195000,-0.329969,-0.558426,0.444954,0.247303
0.201636,-0.065000,0.200000,-0.330212,-0.560807,0.431455,0.237927
0.201507,-0.065000,0.205000,-0.330421,-0.562181,0.417414,0.228050
0.201397,-0.065000,0.210000,-0.330599,-0.562562,0.402782,0.217775
0.201306,-0.065000,0.215000,-0.330746,-0.561973,0.387561,0.207120
0.201233,-0.065000,0.220000,-0.330865,-0.560471,0.371969,0.195731
0.201176,-0.065000,0.225000,-0.330958,-0.557968,0.355331,0.184772
0.201134,-0.065000,0.230000,-0.331026,-0.554536,0.337900,0.173837
0.201105,-0.065000,0.235000,-0.331074,-0.550221,0.319806,0.162718
0.201087,-0.065000,0.240000,-0.331102,-0.545054,0.301100,0.151337
0.201079,-0.065000,0.245000,-0.331116,-0.539060,0.281798,0.139675
0.201077,-0.065000,0.250000,-0.331118,-0.532262,0.261879,0.127778
0.201079,-0.065000,0.255000,-0.331116,-0.524684,0.241337,0.115665
0.201087,-0.065000,0.260000,-0.331102,-0.516307,0.220134,0.103345
0.201105,-0.065000,0.265000,-0.331074,-0.507110,0.198227,0.090830
0.201134,-0.065000,0.270000,-0.331026,-0.497075,0.175577,0.078123
0.201176,-0.065000,0.275000,-0.330958,-0.486184,0.152147,0.065227
0.201233,-0.065000,0.280000,-0.330865,-0.474418,0.127894,0.052144
0.201306,-0.065000,0.285000,-0.330746,-0.461756,0.102771,0.038874
0.201397,-0.065000,0.290000,-0.330599,-0.448171,0.076732,0.025409
0.201507,-0.065000,0.295000,-0.330421,-0.433635,0.049727,0.011730
0.201636,-0.065000,0.300000,-0.330212,-0.418111,0.021672,-0.002129
0.201787,-0.065000,0.305000,-0.329969,-0.401559,-0.007519,-0.016152
0.201959,-0.065000,0.310000,-0.329691,-0.383929,-0.037901,-0.030408
0.202154,-0.065000,0.315000,-0.329376,-0.365160,-0.069567,-0.044922
0.202374,-0.065000,0.320000,-0.329023,-0.345181,-0.102646,-0.059684
0.202618,-0.065000,0.325000,-0.328632,-0.323903,-0.137274,-0.074719
0.202887,-0.065000,0.330000,-0.328200,-0.301220,-0.173604,-0.090081
0.203184,-0.065000,0.335000,-0.327727,-0.276996,-0.211838,-0.105802
0.203507,-0.065000,0.340000,-0.327212,-0.251064,-0.252221,-0.121932
0.203859,-0.065000,0.345000,-0.326654,-0.223211,-0.295065,-0.138539
0.204239,-0.065000,0.350000,-0.326052,-0.193155,-0.340767,-0.155712
0.204044,-0.060000,0.150000,-0.302820,-0.500688,0.543799,0.321799
0.203664,-0.060000,0.155000,-0.303385,-0.513439,0.536817,0.315494
0.203312,-0.060000,0.160000,-0.303909,-0.524989,0.529195,0.308563
0.202988,-0.060000,0.165000,-0.304392,-0.535360,0.520986,0.300953
0.202692,-0.060000,0.170000,-0.304836,-0.544585,0.512281,0.292551
0.202422,-0.060000,0.175000,-0.305242,-0.552708,0.503224,0.283151
0.202178,-0.060000,0.180000,-0.305610,-0.559730,0.493779,0.272836
0.201959,-0.060000,0.185000,-0.305941,-0.564937,0.480755,0.266834
0.201764,-0.060000,0.190000,-0.306237,-0.569025,0.466923,0.260707
0.201591,-0.060000,0.195000,-0.306498,-0.572313,0.453639,0.252264
0.201441,-0.060000,0.200000,-0.306726,-0.574633,0.440102,0.242824
0.201311,-0.060000,0.205000,-0.306923,-0.575944,0.426039,0.232864
0.201202,-0.060000,0.210000,-0.307090,-0.576259,0.411396,0.222489
0.201111,-0.060000,0.215000,-0.307228,-0.575603,0.396184,0.211705
0.201038,-0.060000,0.220000,-0.307340,-0.574038,0.380644,0.200123
0.200981,-0.060000,0.225000,-0.307427,-0.571445,0.363924,0.189202
0.200938,-0.060000,0.230000,-0.307492,-0.567926,0.346443,0.178259
0.200909,-0.060000,0.235000,-0.307536,-0.563531,0.328345,0.167061
0.200892,-0.060000,0.240000,-0.307563,-0.558282,0.309634,0.155613
0.200884,-0.060000,0.245000,-0.307575,-0.552209,0.290333,0.143884
0.200882,-0.060000,0.250000,-0.307578,-0.545334,0.270421,0.131922
0.200884,-0.060000,0.255000,-0.307575,-0.537682,0.249892,0.119746
0.200892,-0.060000,0.260000,-0.307563,-0.529234,0.228705,0.107368
0.200909,-0.060000,0.265000,-0.307536,-0.519969,0.206821,0.094798
0.200938,-0.060000,0.270000,-0.307492,-0.509871,0.184203,0.082040
0.200981,-0.060000,0.275000,-0.307427,-0.498922,0.160812,0.069096
0.201038,-0.060000,0.280000,-0.307340,-0.487104,0.136606,0.055969
0.201111,-0.060000,0.285000,-0.307228,-0.474396,0.111542,0.042657
0.201202,-0.060000,0.290000,-0.307090,-0.460774,0.085577,0.029145
0.201311,-0.060000,0.295000,-0.306923,-0.446208,0.058652,0.015437
0.201441,-0.060000,0.300000,-0.306726,-0.430665,0.030672,0.001589
0.201591,-0.060000,0.305000,-0.306498,-0.414105,0.001591,-0.012454
0.201764,-0.060000,0.310000,-0.306236,-0.396480,-0.028654,-0.026740
